category,perturbation,severity,signal,macro_f1,ci_lo,ci_hi,null_fpr,label_entropy,label_counts,detection_rate,paired_delta
amplitude,sweep_convergence,0.1500,standardized_sum,0.2855,0.2808,0.2885,0.0100,1.1071,"{""null"": 358, ""divergent"": 0, ""convergent"": 41, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,0.3000,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 100, ""convergent"": 0, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.4479
amplitude,sweep_convergence,0.3000,standardized_sum,0.2855,0.2816,0.2885,0.0100,1.1071,"{""null"": 358, ""divergent"": 0, ""convergent"": 41, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,0.4500,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 100, ""convergent"": 0, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.4479
amplitude,sweep_convergence,0.4500,standardized_sum,0.2855,0.2814,0.2885,0.0100,1.1071,"{""null"": 358, ""divergent"": 0, ""convergent"": 41, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,0.6000,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 100, ""convergent"": 0, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.4479
amplitude,sweep_convergence,0.6000,standardized_sum,0.2855,0.2810,0.2883,0.0100,1.1071,"{""null"": 358, ""divergent"": 0, ""convergent"": 41, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,0.7500,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 100, ""convergent"": 0, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.4479
amplitude,sweep_convergence,0.7500,standardized_sum,0.2855,0.2819,0.2887,0.0100,1.1071,"{""null"": 358, ""divergent"": 0, ""convergent"": 41, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,0.9000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.7145
amplitude,sweep_convergence,0.9000,standardized_sum,0.2855,0.2814,0.2885,0.0100,1.1071,"{""null"": 358, ""divergent"": 0, ""convergent"": 41, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,1.0500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.7145
amplitude,sweep_convergence,1.0500,standardized_sum,0.2855,0.2814,0.2885,0.0100,1.1071,"{""null"": 358, ""divergent"": 0, ""convergent"": 41, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,1.2000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.7145
amplitude,sweep_convergence,1.2000,standardized_sum,0.2855,0.2812,0.2885,0.0100,1.1071,"{""null"": 358, ""divergent"": 0, ""convergent"": 41, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,1.3500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5821
amplitude,sweep_convergence,1.3500,standardized_sum,0.4179,0.4022,0.4336,0.0100,1.3772,"{""null"": 298, ""divergent"": 0, ""convergent"": 101, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,1.5000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_convergence,1.5000,standardized_sum,0.4756,0.4702,0.4807,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,1.6500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_convergence,1.6500,standardized_sum,0.4756,0.4700,0.4807,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,1.8000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_convergence,1.8000,standardized_sum,0.4756,0.4702,0.4807,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,1.9500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_convergence,1.9500,standardized_sum,0.4756,0.4704,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,2.1000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_convergence,2.1000,standardized_sum,0.4756,0.4705,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,2.2500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_convergence,2.2500,standardized_sum,0.4756,0.4705,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,2.4000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_convergence,2.4000,standardized_sum,0.4756,0.4705,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,2.5500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_convergence,2.5500,standardized_sum,0.4756,0.4700,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,2.7000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_convergence,2.7000,standardized_sum,0.4756,0.4705,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,2.8500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_convergence,2.8500,standardized_sum,0.4756,0.4705,0.4807,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_convergence,3.0000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_convergence,3.0000,standardized_sum,0.4756,0.4702,0.4807,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.0000,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 0, ""aperiodic"": 100}",0.0000,0.4768
amplitude,sweep_oscillation,0.0000,standardized_sum,0.2565,0.2489,0.2671,0.0100,0.8939,"{""null"": 357, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 2, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.0100,composed,0.7377,0.7333,0.7463,0.0000,1.9401,"{""null"": 199, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 1, ""aperiodic"": 100}",0.0100,0.4812
amplitude,sweep_oscillation,0.0100,standardized_sum,0.2565,0.2489,0.2675,0.0100,0.8939,"{""null"": 357, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 2, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.0200,composed,0.8708,0.8462,0.8933,0.0000,2.2147,"{""null"": 159, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 41, ""aperiodic"": 100}",0.4100,0.6062
amplitude,sweep_oscillation,0.0200,standardized_sum,0.2645,0.2520,0.2806,0.0100,0.9215,"{""null"": 355, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 4, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.0300,composed,0.9980,0.9940,1.0000,0.0000,2.3219,"{""null"": 101, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 99, ""aperiodic"": 100}",0.9900,0.6331
amplitude,sweep_oscillation,0.0300,standardized_sum,0.3649,0.3414,0.3870,0.0100,1.2018,"{""null"": 322, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 37, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.0400,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5379
amplitude,sweep_oscillation,0.0400,standardized_sum,0.4621,0.4523,0.4719,0.0100,1.4446,"{""null"": 268, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 91, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.0500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.0500,standardized_sum,0.4756,0.4704,0.4807,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.0600,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.0600,standardized_sum,0.4756,0.4702,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.0700,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.0700,standardized_sum,0.4756,0.4702,0.4804,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.0800,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.0800,standardized_sum,0.4756,0.4704,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.0900,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.0900,standardized_sum,0.4756,0.4698,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.1000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.1000,standardized_sum,0.4756,0.4709,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.1100,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.1100,standardized_sum,0.4756,0.4710,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.1200,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.1200,standardized_sum,0.4756,0.4700,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.1300,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.1300,standardized_sum,0.4756,0.4695,0.4807,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.1400,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.1400,standardized_sum,0.4756,0.4702,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.1500,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.1500,standardized_sum,0.4756,0.4702,0.4807,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.1600,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.1600,standardized_sum,0.4756,0.4705,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.1700,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.1700,standardized_sum,0.4756,0.4704,0.4807,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.1800,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_oscillation,0.1800,standardized_sum,0.4756,0.4703,0.4802,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_oscillation,0.1900,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
