condition,rep,signal,peak_median_ratio,peak_period,evalue_null_mean
signal,74,individual_dissolved_oxygen,19.12,113.6,1.0030
signal,74,composed_evalue,27.20,500.0,1.0028
signal,74,standardized_sum,18.87,500.0,
signal,75,individual_temperature,11.32,500.0,0.9984
signal,75,individual_fish_count,13.67,2.7,1.0015
signal,75,individual_inter_event,20.26,500.0,1.0006
signal,75,individual_turbidity,11.78,500.0,1.0002
signal,75,individual_dissolved_oxygen,30.81,500.0,1.0002
signal,75,composed_evalue,49.54,500.0,1.0038
signal,75,standardized_sum,15.11,500.0,
signal,76,individual_temperature,15.81,500.0,0.9965
signal,76,individual_fish_count,13.48,7.6,0.9981
signal,76,individual_inter_event,13.30,8.0,0.9997
signal,76,individual_turbidity,12.01,23.3,1.0014
signal,76,individual_dissolved_oxygen,11.60,2.4,0.9998
signal,76,composed_evalue,30.49,500.0,0.9961
signal,76,standardized_sum,20.84,500.0,
